"","Team","Position","Time","Shots","Passes","Tackles","Saves"
"Contreras","Chile","Defender",54,0,17,1,0
"Criscito","Italy","Defender",225,1,114,6,0
"Crouch","England","Forward",17,1,7,0,0
"Culina","Australia","Midfielder",270,4,153,0,0
"CaceresP1","Paraguay","Defender",90,0,71,0,0
"CaceresU","Uruguay","Defender",90,0,32,4,0
"CaceresP2","Paraguay","Midfielder",354,1,170,17,0
"Da Silva","Paraguay","Defender",480,1,235,11,0
"Daniel Alves","Brazil","Defender",310,11,215,6,0
"Danny","Portugal","Forward",176,1,62,7,0
"De Rossi","Italy","Midfielder",270,3,204,9,0
"Deco","Portugal","Midfielder",62,0,45,1,0
"Dedic","Slovenia","Forward",84,0,22,1,0
"Defoe","England","Forward",173,5,17,1,0
"Demel","Ivory Coast","Defender",180,0,60,6,0
"Demerit","USA","Defender",390,2,129,7,0
"Demichelis","Argentina","Defender",450,1,218,7,0
"Dempsey","USA","Midfielder",390,15,137,6,0
"Derdiyok","Switzerland","Forward",191,4,47,1,0
"Di Maria","Argentina","Midfielder",356,7,148,12,0
"Di Natale","Italy","Forward",153,6,55,2,0
"Dikgacoi","South Africa","Midfielder",180,2,108,4,0
"Dindane","Ivory Coast","Forward",170,1,66,2,0
"Djebbour","Algeria","Forward",123,3,19,1,0
"Donovan","USA","Forward",390,7,165,9,0
"Doumbia","Ivory Coast","Forward",11,0,2,0,0
"Drogba","Ivory Coast","Forward",204,8,35,2,0
"Duda","Portugal","Defender",70,0,18,2,0
"Durica","Slovakia","Defender",360,1,159,4,0
"Eboue","Ivory Coast","Defender",251,3,126,6,0
"Echiejile","Nigeria","Defender",67,0,22,1,0
"Edu","USA","Midfielder",198,2,116,4,0
"Eduardo","Portugal","Goalkeeper",360,0,51,0,17
"Eggimann","Switzerland","Defender",1,0,0,0,0
"Eguren","Uruguay","Midfielder",2,0,1,0,0
"Elano","Brazil","Midfielder",140,5,57,6,0
"Elia","Netherlands","Forward",85,2,38,2,0
"Elliott","New Zealand","Midfielder",270,1,119,7,0
"Emana","Cameroon","Midfielder",117,7,59,2,0
"Emerton","Australia","Midfielder",254,1,89,3,0
"Endo","Japan","Midfielder",389,1,147,9,0
"Enevoldsen","Denmark","Midfielder",56,2,10,0,0
"Enoh","Cameroon","Midfielder",135,2,56,8,0
"Enyeama","Nigeria","Goalkeeper",270,0,30,0,20
"Eriksen","Denmark","Midfielder",44,1,20,1,0
"Espinoza","Honduras","Midfielder",135,0,36,4,0
"Estrada","Chile","Midfielder",37,1,16,2,0
"Etoo","Cameroon","Forward",270,4,89,3,0
"Etuhu","Nigeria","Midfielder",270,0,111,5,0
"Evra","France","Defender",180,0,92,4,0
"Fabiano","Brazil","Forward",418,9,89,4,0
"Fabregas","Spain","Midfielder",94,1,116,2,0
"Fallon","New Zealand","Forward",222,1,60,1,0
"Feilhaber","USA","Midfielder",165,3,71,5,0
"Fernandes","Switzerland","Midfielder",212,1,56,7,0
"FernandezUM","Uruguay","Midfielder",75,1,17,3,0
"FernandezC","Chile","Midfielder",155,1,72,2,0
"FernandezUF","Uruguay","Forward",7,0,5,0,0
"Ferreira","Portugal","Defender",90,0,37,1,0
"Figueroa","Honduras","Defender",270,1,94,5,0
"Findley","USA","Forward",167,1,40,0,0
"Forlan","Uruguay","Forward",564,18,202,0,0
"Franco","Mexico","Forward",253,4,71,2,0
"Frei","Switzerland","Forward",63,2,11,0,0
"Friedrich","Germany","Defender",540,1,244,16,0
"Fucile","Uruguay","Defender",371,2,115,14,0
"Fuentes","Chile","Defender",90,0,27,3,0
"Fabio Coentr~ao","Portugal","Defender",360,1,152,13,0
"Gallas","France","Defender",270,0,96,2,0
"Garcia","Australia","Midfielder",72,2,24,3,0
"Gargano","Uruguay","Midfielder",91,0,44,1,0
"Gattuso","Italy","Midfielder",45,0,13,5,0
"Gekas","Greece","Forward",169,3,26,0,0
"Geremi","Cameroon","Defender",195,1,93,1,0
"Gerrard","England","Midfielder",360,10,227,5,0
"Gervinho","Ivory Coast","Forward",182,5,60,1,0
"Ghezzal","Algeria","Forward",40,3,8,0,0
"Gignac","France","Forward",95,3,19,1,0
"Gilardino","Italy","Forward",117,1,32,0,0
"Gilberto","Brazil","Defender",33,0,6,4,0
"Gilberto Silva","Brazil","Midfielder",450,3,299,11,0
"Giovani dos Santos","Mexico","Midfielder",360,2,106,4,0
"Glen Johnson","England","Defender",357,3,173,17,0
"Godin","Uruguay","Defender",315,1,120,9,0
"GomezU","USA","Forward",85,4,18,0,0
"GomezG","Germany","Forward",57,2,18,0,0
"GonzalezU","Uruguay","Midfielder",63,0,34,2,0
"GonzalezC","Chile","Midfielder",138,10,41,6,0
"Gourcuff","France","Midfielder",100,3,40,3,0
"Govou","France","Forward",162,1,35,4,0
"Grafite","Brazil","Forward",5,0,4,0,0
"Green","England","Goalkeeper",90,0,21,0,3
"Grella","Australia","Midfielder",45,0,18,2,0
"Grichting","Switzerland","Defender",270,1,82,6,0
"Gronkjaer","Denmark","Midfielder",101,1,29,3,0
"Guardado","Mexico","Midfielder",142,5,92,2,0
"Guevara","Honduras","Midfielder",156,0,60,6,0
"Gutierrez","Argentina","Midfielder",191,0,83,11,0
"Guedioura","Algeria","Midfielder",38,0,18,1,0
"Gyan","Ghana","Forward",501,27,151,1,0
"Halliche","Algeria","Defender",270,2,94,4,0
"Hamidou","Cameroon","Goalkeeper",270,0,54,0,9
"Hamsik","Slovakia","Midfielder",358,5,143,3,0
"Handanovic","Slovenia","Goalkeeper",270,0,66,0,13
"Haruna","Nigeria","Midfielder",180,1,77,3,0
"Hasebe","Japan","Midfielder",375,2,125,8,0
"Heinze","Argentina","Defender",360,3,188,6,0
"Heitinga","Netherlands","Defender",540,0,259,10,0
"Henry","France","Forward",53,1,21,2,0
"Hernandez","Mexico","Forward",169,6,37,1,0
"Heskey","England","Forward",176,2,53,7,0
"Higuain","Argentina","Forward",341,13,93,5,0
"Holden","USA","Midfielder",4,0,2,0,0
"Holman","Australia","Forward",138,3,49,2,0
"Holosko","Slovakia","Forward",29,0,11,1,0
"Honda","Japan","Midfielder",390,8,143,5,0
"Hong Yong-Jo","North Korea","Forward",270,4,107,3,0
"Howard","USA","Goalkeeper",390,0,81,0,14
"Huggel","Switzerland","Midfielder",258,0,87,8,0
"Huntelaar","Netherlands","Forward",48,1,12,0,0
"Iaquinta","Italy","Forward",270,5,48,3,0
"Idrissou","Cameroon","Forward",50,2,23,1,0
"Inamoto","Japan","Midfielder",3,0,5,0,0
"Iniesta","Spain","Midfielder",437,8,299,11,0
"Inkoom","Ghana","Defender",187,1,62,3,0
"Inler","Switzerland","Midfielder",270,2,138,6,0
"Isla","Chile","Defender",332,1,123,10,0
"Ivanovic","Serbia","Defender",270,3,115,2,0
"Izaguirre","Honduras","Defender",180,0,51,8,0
"Jacobsen","Denmark","Defender",270,0,95,3,0
"Jakob Poulsen","Denmark","Midfielder",60,2,40,0,0
"Jakubko","Slovakia","Forward",2,0,1,0,0
"James","England","Goalkeeper",270,0,72,0,6
"Jansen","Germany","Defender",73,1,44,3,0
"Jara","Chile","Defender",308,1,187,8,0
"Javi Martinez","Spain","Midfielder",17,0,17,0,0
"Jedinak","Australia","Midfielder",16,0,15,0,0
"Jendrisek","Slovakia","Forward",250,3,55,4,0
"Jensen","Denmark","Midfielder",45,0,21,2,0
"Jerry Palacios","Honduras","Forward",84,0,19,0,0
"Jesus Navas","Spain","Midfielder",118,4,61,1,0
"Ji Yun-Nam","North Korea","Midfielder",270,3,73,11,0
"Joe Cole","England","Midfielder",44,1,26,0,0
"John Mensah","Ghana","Defender",420,1,108,10,0
"Jokic","Slovenia","Defender",270,0,109,10,0
"Jonathan Mensah","Ghana","Defender",300,2,105,6,0
"Jong Tae-Se","North Korea","Forward",270,13,58,2,0
"Josephs","South Africa","Goalkeeper",101,0,20,0,3
"Josue","Brazil","Midfielder",46,0,54,1,0
"Jovanovic","Serbia","Midfielder",245,4,65,2,0
"Jozy Altidore","USA","Forward",356,8,84,2,0
"Juan","Brazil","Defender",450,4,223,9,0
"Juan Mata","Spain","Midfielder",20,1,16,0,0
"Julio Cesar","Brazil","Goalkeeper",450,0,69,0,10
"Jung Sung-Ryong","South Korea","Goalkeeper",360,0,49,0,14
"Juarez","Mexico","Defender",235,0,128,6,0
"Jorgensen","Denmark","Midfielder",169,1,78,8,0
"Kacar","Serbia","Midfielder",20,1,7,1,0
"Kader Keita","Ivory Coast","Midfielder",94,2,48,2,0
"Kadir","Algeria","Midfielder",262,0,104,3,0
"Kahlenberg","Denmark","Midfielder",159,2,59,3,0
"Kaita","Nigeria","Midfielder",123,2,45,2,0
"Kaka","Brazil","Midfielder",337,6,139,2,0
"Kalou","Ivory Coast","Forward",160,4,50,3,0
"Kanu","Nigeria","Forward",57,0,18,0,0
"Kapetanos","Greece","Forward",29,1,7,0,0
"Karagounis","Greece","Midfielder",180,4,105,7,0
"Katsouranis","Greece","Midfielder",234,2,115,4,0
"Kawashima","Japan","Goalkeeper",390,0,54,0,17
"Kengo Nakamura","Japan","Midfielder",39,0,10,0,0
"Kennedy","Australia","Forward",112,3,29,1,0
"Kewell","Australia","Midfielder",24,0,7,1,0
"Khedira","Germany","Midfielder",517,6,279,16,0
"Khuboni","South Africa","Midfielder",78,1,48,1,0
"Khumalo","South Africa","Defender",270,2,74,4,0
"Khune","South Africa","Goalkeeper",166,1,24,0,4
"Ki Sung-Yong","South Korea","Midfielder",292,2,162,6,0
"Kiessling","Germany","Forward",7,0,5,0,0
"Killen","New Zealand","Forward",240,3,60,7,0
"Kim Dong-Jin","South Korea","Defender",1,0,0,0,0
"Kim Jae-Sung","South Korea","Midfielder",65,0,37,0,0
"Kim Jung-Woo","South Korea","Midfielder",360,4,184,10,0
"Kim Kum-Il","North Korea","Forward",42,0,18,0,0
"Kim Nam-Il","South Korea","Midfielder",86,2,38,6,0
"Kim Yong-Jun","North Korea","Midfielder",32,1,10,0,0
"King","England","Defender",45,0,17,0,0
"Kingson","Ghana","Goalkeeper",510,0,105,1,20
"Kirm","Slovenia","Midfielder",259,1,88,4,0
"Kjaer","Denmark","Defender",180,1,41,3,0
"Klose","Germany","Forward",356,11,83,4,0
"Kleberson","Brazil","Midfielder",9,0,1,0,0
"Kolarov","Serbia","Defender",180,2,46,8,0
"Kolo Toure","Ivory Coast","Defender",270,2,88,2,0
"Komac","Slovenia","Midfielder",4,0,3,1,0
"Komano","Japan","Defender",390,3,115,16,0
"Konno","Japan","Defender",2,0,0,0,0
"Kopunek","Slovakia","Midfielder",22,1,17,0,0
"Koren","Slovenia","Midfielder",270,3,162,3,0
"Kozak","Slovakia","Midfielder",90,0,66,3,0
"Krasic","Serbia","Midfielder",242,3,60,2,0
"Kroos","Germany","Midfielder",50,2,29,4,0
"Kroldrup","Denmark","Defender",56,1,32,0,0
"Kucka","Slovakia","Midfielder",181,4,71,10,0
"Kuyt","Netherlands","Forward",516,11,248,7,0
"Kuzmanovic","Serbia","Midfielder",180,4,103,1,0
"Kyrgiakos","Greece","Defender",180,4,40,1,0
"Lacen","Algeria","Midfielder",270,0,158,8,0
"Lahm","Germany","Defender",540,0,360,17,0
"Lampard","England","Midfielder",360,11,232,3,0
"Larsen","Denmark","Forward",34,2,5,0,0
"Lazovic","Serbia","Forward",44,1,14,0,0
"Lee Chung-Yong","South Korea","Midfielder",359,7,147,12,0
"Lee Dong-Gook","South Korea","Forward",38,1,14,0,0
"Lee Jung-Soo","South Korea","Defender",360,2,164,8,0
"Lee Seung-Yeoul","South Korea","Forward",3,0,0,0,0
"Lee Young-Pyo","South Korea","Defender",360,2,160,2,0
"Lennon","England","Midfielder",153,0,43,1,0
"Letsholonyane","South Africa","Midfielder",147,0,89,6,0
"Lichtsteiner","Switzerland","Defender",270,2,80,10,0
"Liedson","Portugal","Forward",121,4,27,2,0
"Ljubijankic","Slovenia","Forward",173,2,36,2,0
"Llorente","Spain","Forward",31,2,12,0,0
"Lloris","France","Goalkeeper",270,0,43,0,12
"Lochhead","New Zealand","Defender",270,0,47,5,0
"Lodeiro","Uruguay","Midfielder",109,0,37,1,0
"Lucio","Brazil","Defender",450,1,223,14,0
"Lugano","Uruguay","Defender",398,2,67,6,0
"Lukovic","Serbia","Defender",164,1,98,6,0
"MBolhi","Algeria","Goalkeeper",180,0,30,0,12
"Maggio","Italy","Defender",45,0,21,1,0
"Maicon","Brazil","Defender",450,6,249,11,0
"Makoun","Cameroon","Midfielder",210,4,164,2,0
"Malouda","France","Midfielder",150,4,76,1,0
"Marchena","Spain","Defender",8,0,1,0,0
"Marchetti","Italy","Goalkeeper",225,0,21,0,1
"Marchisio","Italy","Midfielder",120,0,57,2,0
"Marcus Tulio Tanaka","Japan","Defender",390,5,129,5,0
"Marin","Germany","Midfielder",29,1,6,0,0
"Martins","Nigeria","Forward",71,2,16,0,0
"Mascherano","Argentina","Midfielder",360,0,237,19,0
"Masilela","South Africa","Defender",225,0,107,6,0
"Matavz","Slovenia","Forward",11,0,4,0,0
"Mathijsen","Netherlands","Defender",450,1,265,8,0
"Matip","Cameroon","Defender",63,0,37,3,0
"Matmour","Algeria","Midfielder",255,3,68,3,0
"Matsui","Japan","Midfielder",273,3,95,4,0
"Mauricio Sabillon","Honduras","Defender",90,0,38,5,0
"Maxi Pereira","Uruguay","Midfielder",570,5,182,15,0
"Maxi Rodriguez","Argentina","Midfielder",346,2,218,9,0
"Mbia","Cameroon","Defender",270,3,135,4,0
"Medel","Chile","Defender",270,1,123,7,0
"Meireles","Portugal","Midfielder",329,6,154,9,0
"Melo","Brazil","Midfielder",291,2,249,12,0
"Mendes","Portugal","Midfielder",224,0,117,9,0
"Mendoza","Honduras","Defender",180,0,51,3,0
"Mertesacker","Germany","Defender",540,0,282,9,0
"Mesbah","Algeria","Midfielder",1,0,1,0,0
"Messi","Argentina","Forward",450,21,321,10,0
"Michel Bastos","Brazil","Defender",422,7,224,14,0
"Miguel","Portugal","Defender",90,1,52,2,0
"Milijas","Serbia","Midfielder",62,0,35,3,0
"Milito","Argentina","Forward",91,0,33,0,0
"Millar","Chile","Midfielder",125,1,80,3,0
"Milner","England","Midfielder",185,1,57,6,0
"Modise","South Africa","Midfielder",192,5,111,4,0
"Mokoena","South Africa","Defender",270,0,83,5,0
"Montolivo","Italy","Midfielder",236,8,163,9,0
"Moore","Australia","Defender",180,1,91,3,0
"Moras","Greece","Defender",90,0,4,2,0
"Morel Rodriguez","Paraguay","Defender",480,1,202,7,0
"Moreno","Mexico","Defender",147,0,74,4,0
"Moriri","South Africa","Midfielder",33,0,22,0,0
"Mphela","South Africa","Forward",270,10,60,2,0
"Mucha","Slovakia","Goalkeeper",360,0,85,0,14
"Mun In-Guk","North Korea","Midfielder",205,2,71,7,0
"Muntari","Ghana","Midfielder",134,5,69,3,0
"Muslera","Uruguay","Goalkeeper",570,0,75,0,16
"Marquez","Mexico","Defender",360,6,244,14,0
"Muller","Germany","Forward",383,7,165,9,0
"NGuemo","Cameroon","Midfielder",90,1,51,1,0
"NKoulou","Cameroon","Defender",253,0,152,4,0
"Nagatomo","Japan","Defender",390,4,68,4,0
"Nakazawa","Japan","Defender",390,1,106,3,0
"Nam Song-Chol","North Korea","Defender",15,0,6,0,0
"Neill","Australia","Defender",270,1,135,4,0
"Nelsen","New Zealand","Defender",270,0,92,1,0
"Neuer","Germany","Goalkeeper",540,0,99,0,20
"Ngongca","South Africa","Defender",55,0,21,1,0
"Nilmar","Brazil","Forward",129,5,18,3,0
"Ninis","Greece","Midfielder",47,1,22,4,0
"Ninkovic","Serbia","Midfielder",160,1,91,2,0
"Nkufo","Switzerland","Forward",227,2,65,2,0
"Nomvete","South Africa","Forward",22,0,5,1,0
"Novakovic","Slovenia","Forward",270,2,68,1,0
"Nunez","Honduras","Midfielder",172,4,60,1,0
"Obasi","Nigeria","Forward",195,6,62,8,0
"Obradovic","Serbia","Defender",90,1,42,2,0
"Odemwingie","Nigeria","Forward",75,0,28,1,0
"Odiah","Nigeria","Defender",270,0,107,5,0
"Oh Beom-Seok","South Korea","Defender",90,1,34,3,0
"Okazaki","Japan","Forward",104,4,15,2,0
"Okubo","Japan","Forward",351,7,68,4,0
"Onyewu","USA","Defender",170,1,69,2,0
"Ooijer","Netherlands","Defender",90,0,30,2,0
"Orellana","Chile","Forward",25,1,7,0,0
"Ortigoza","Paraguay","Midfielder",75,0,60,5,0
"Osorio","Mexico","Defender",360,1,202,14,0
"Otamendi","Argentina","Defender",250,0,141,6,0
"Owusu-Abeyie","Ghana","Forward",35,2,22,0,0
"Pa Gaxa","South Africa","Defender",215,1,95,2,0
"Pak Chol-Jin","North Korea","Defender",270,0,56,4,0
"Pak Nam-Chol","North Korea","Midfielder",238,1,101,7,0
"Palermo","Argentina","Forward",10,3,8,0,0
"Pantelic","Serbia","Forward",113,3,24,1,0
"Pantsil","Ghana","Defender",510,2,248,7,0
"Papastathopoulos","Greece","Defender",127,0,18,10,0
"Paredes","Chile","Forward",70,3,11,5,0
"Park Chu-Young","South Korea","Forward",347,14,96,0,0
"Park Ji-Sung","South Korea","Midfielder",360,5,127,13,0
"Parker","South Africa","Forward",75,1,32,2,0
"Paston","New Zealand","Goalkeeper",270,0,64,0,9
"Pastore","Argentina","Midfielder",37,2,44,3,0
"Patsatzoglou","Greece","Midfielder",80,0,31,0,0
"Pavon","Honduras","Forward",60,1,9,0,0
"Pazzini","Italy","Forward",29,0,6,0,0
"Pecnik","Slovenia","Forward",21,0,4,1,0
"Pedro Rodriguez","Spain","Midfielder",116,5,80,0,0
"Pekarik","Slovakia","Defender",270,0,93,8,0
"PepeP","Portugal","Midfielder",136,1,43,3,0
"PepeI","Italy","Forward",225,3,100,5,0
"PerezU","Uruguay","Midfielder",567,2,252,34,0
"Petras","Slovakia","Defender",1,0,0,0,0
"Petrovic","Serbia","Midfielder",15,1,3,1,0
"Pienaar","South Africa","Midfielder",252,2,126,3,0
"Pique","Spain","Defender",540,2,402,15,0
"Pirlo","Italy","Midfielder",34,0,28,0,0
"Podolski","Germany","Forward",531,17,217,9,0
"Ponce","Chile","Defender",270,2,113,4,0
"Puyol","Spain","Defender",534,3,254,8,0
"PerezM","Mexico","Goalkeeper",360,0,58,0,13
"Quagliarella","Italy","Forward",45,3,22,2,0
"Radosavljevic","Slovenia","Midfielder",267,1,129,6,0
"Ramires","Brazil","Midfielder",105,3,53,3,0
"Ramos","Spain","Defender",527,9,299,7,0
"Reid","New Zealand","Defender",270,2,90,10,0
"Ri Jun-Il","North Korea","Defender",270,1,75,2,0
"Ri Kwang-Chon","North Korea","Defender",270,1,59,4,0
"Ri Myong-Guk","North Korea","Goalkeeper",270,0,46,0,19
"Ribery","France","Midfielder",270,4,104,9,0
"Ricardo Costa","Portugal","Defender",179,0,44,9,0
"Rigobert Song","Cameroon","Defender",17,0,3,0,0
"Riveros","Paraguay","Midfielder",480,5,236,22,0
"Robben","Netherlands","Forward",267,6,81,5,0
"Robinho","Brazil","Forward",354,9,181,5,0
"RodriguezA","Argentina","Defender",90,1,72,1,0
"RodriguezM","Mexico","Defender",360,2,212,7,0
"Romaric","Ivory Coast","Midfielder",98,5,82,4,0
"Romero","Argentina","Goalkeeper",450,0,47,0,10
"Rommedahl","Denmark","Midfielder",270,4,74,5,0
"Ronaldo","Portugal","Forward",360,18,91,3,0
"Rooney","England","Forward",342,8,121,2,0
"Rukavytsya","Australia","Forward",32,1,12,0,0
"Sagna","France","Defender",270,0,125,4,0
"Saifi","Algeria","Forward",15,1,3,0,0
"Salata","Slovakia","Defender",83,1,40,2,0
"Salcido","Mexico","Defender",360,9,174,15,0
"Salpingidis","Greece","Forward",121,3,28,4,0
"Samaras","Greece","Forward",202,7,43,1,0
"Samuel","Argentina","Defender",114,2,43,1,0
"Santa Cruz","Paraguay","Forward",312,6,134,1,0
"Santana","Paraguay","Midfielder",120,2,28,7,0
"Sapara","Slovakia","Midfielder",2,0,5,0,0
"Sarpei","Ghana","Defender",463,0,167,13,0
"Schwarzer","Australia","Goalkeeper",270,0,51,0,13
"Schweinsteiger","Germany","Midfielder",531,5,423,23,0
"Scotti","Uruguay","Defender",95,0,22,5,0
"Seitaridis","Greece","Defender",90,0,39,6,0
"Senderos","Switzerland","Defender",36,0,9,1,0
"Sestak","Slovakia","Forward",152,3,27,1,0
"Shaqiri","Switzerland","Midfielder",12,0,9,0,0
"Shittu","Nigeria","Defender",270,0,61,5,0
"Shunsuke Nakamura","Japan","Midfielder",26,0,18,1,0
"Sibaya","South Africa","Midfielder",90,1,39,2,0
"Silva","Spain","Midfielder",66,2,42,2,0
"Simon Poulsen","Denmark","Midfielder",270,1,99,9,0
"Sim~ao","Portugal","Midfielder",217,2,76,7,0
"Skrtel","Slovakia","Defender",360,0,202,4,0
"Smeltz","New Zealand","Forward",270,5,59,5,0
"Smith","New Zealand","Defender",270,1,79,2,0
"Sneijder","Netherlands","Midfielder",532,15,279,7,0
"Spiropoulos","Greece","Defender",45,1,6,2,0
"Squillaci","France","Defender",90,0,34,1,0
"Stankovic","Serbia","Midfielder",270,3,165,5,0
"Stekelenburg","Netherlands","Goalkeeper",540,0,149,0,15
"Stoch","Slovakia","Midfielder",193,2,76,1,0
"Stojkovic","Serbia","Goalkeeper",270,0,52,0,7
"Strba","Slovakia","Midfielder",267,2,137,5,0
"SuazoH","Honduras","Forward",171,2,35,0,0
"SuazoC","Chile","Forward",135,4,39,1,0
"Subotic","Serbia","Defender",104,0,49,3,0
"Suler","Slovenia","Defender",270,0,102,5,0
"Suarez","Uruguay","Forward",452,19,127,4,0
"Sanchez","Chile","Forward",335,7,113,13,0
"Sorensen","Denmark","Goalkeeper",270,0,52,0,16
"Tagoe","Ghana","Forward",210,3,48,1,0
